sc,	sm,	mu_c,	mu_m,	lnZ,	D,	d 
1.337,	0.01,	0.5222,	0.1,	-717.4,	23.15,	28.22
1.558,	0.01,	0.5222,	0.1,	-719.1,	21.08,	72.49
1.779,	0.01,	0.5222,	0.1,	-718.2,	23.79,	39.63
2.0,	0.01,	0.5222,	0.1,	-719.1,	22.5,	53.45
0.01,	0.2311,	0.5222,	0.1,	-307.3,	19.78,	6.144
0.2311,	0.2311,	0.5222,	0.1,	-267.3,	26.44,	7.375
0.4522,	0.2311,	0.5222,	0.1,	-261.1,	21.4,	3.909
0.6733,	0.2311,	0.5222,	0.1,	-260.7,	20.01,	5.489
0.8944,	0.2311,	0.5222,	0.1,	-262.8,	22.07,	7.25
1.116,	0.2311,	0.5222,	0.1,	-262.6,	22.52,	5.701
1.337,	0.2311,	0.5222,	0.1,	-263.6,	23.47,	5.264
1.558,	0.2311,	0.5222,	0.1,	-290.3,	13.07,	0.2535
1.779,	0.2311,	0.5222,	0.1,	-262.7,	22.53,	3.588
2.0,	0.2311,	0.5222,	0.1,	-263.1,	22.52,	6.085
0.01,	0.4522,	0.5222,	0.1,	-294.2,	7.481,	2.727
0.2311,	0.4522,	0.5222,	0.1,	-252.7,	12.33,	5.753
0.4522,	0.4522,	0.5222,	0.1,	-248.4,	9.011,	2.137
0.6733,	0.4522,	0.5222,	0.1,	-248.7,	9.226,	2.442
0.8944,	0.4522,	0.5222,	0.1,	-248.6,	9.056,	2.882
1.116,	0.4522,	0.5222,	0.1,	-248.5,	9.201,	2.105
1.337,	0.4522,	0.5222,	0.1,	-247.7,	8.346,	2.067
1.558,	0.4522,	0.5222,	0.1,	-247.9,	8.652,	2.21
1.779,	0.4522,	0.5222,	0.1,	-246.7,	7.599,	1.381
2.0,	0.4522,	0.5222,	0.1,	-248.2,	8.774,	2.075
0.01,	0.6733,	0.5222,	0.1,	-291.4,	4.536,	3.17
0.2311,	0.6733,	0.5222,	0.1,	-249.4,	9.366,	4.429
0.4522,	0.6733,	0.5222,	0.1,	-245.4,	6.162,	1.803
0.6733,	0.6733,	0.5222,	0.1,	-245.2,	5.934,	1.71
0.8944,	0.6733,	0.5222,	0.1,	-245.4,	6.234,	1.713
1.116,	0.6733,	0.5222,	0.1,	-245.7,	6.35,	1.961
1.337,	0.6733,	0.5222,	0.1,	-245.3,	5.728,	2.38
1.558,	0.6733,	0.5222,	0.1,	-245.1,	5.752,	1.826
1.779,	0.6733,	0.5222,	0.1,	-245.4,	6.142,	1.838
2.0,	0.6733,	0.5222,	0.1,	-245.1,	5.891,	1.896
0.01,	0.8944,	0.5222,	0.1,	-290.4,	3.516,	2.656
0.2311,	0.8944,	0.5222,	0.1,	-249.0,	8.848,	5.724
0.4522,	0.8944,	0.5222,	0.1,	-245.6,	6.097,	2.652
0.6733,	0.8944,	0.5222,	0.1,	-244.4,	4.866,	2.4
0.8944,	0.8944,	0.5222,	0.1,	-243.9,	4.646,	1.678
1.116,	0.8944,	0.5222,	0.1,	-244.5,	5.102,	1.958
1.337,	0.8944,	0.5222,	0.1,	-244.0,	4.633,	2.237
1.558,	0.8944,	0.5222,	0.1,	-244.7,	5.404,	2.208
1.779,	0.8944,	0.5222,	0.1,	-244.8,	5.489,	2.103
2.0,	0.8944,	0.5222,	0.1,	-244.6,	5.188,	2.215
0.01,	1.116,	0.5222,	0.1,	-289.5,	2.695,	2.351
0.2311,	1.116,	0.5222,	0.1,	-248.3,	8.237,	4.487
0.4522,	1.116,	0.5222,	0.1,	-244.9,	5.498,	2.303
0.6733,	1.116,	0.5222,	0.1,	-244.2,	4.809,	1.79
0.8944,	1.116,	0.5222,	0.1,	-244.4,	5.07,	1.851
1.116,	1.116,	0.5222,	0.1,	-244.0,	4.658,	1.816
1.337,	1.116,	0.5222,	0.1,	-243.8,	4.451,	1.694
1.558,	1.116,	0.5222,	0.1,	-244.3,	4.9,	2.193
1.779,	1.116,	0.5222,	0.1,	-244.3,	5.018,	1.727
2.0,	1.116,	0.5222,	0.1,	-244.1,	4.679,	2.272
0.01,	1.337,	0.5222,	0.1,	-289.8,	2.959,	2.635
0.2311,	1.337,	0.5222,	0.1,	-248.2,	8.159,	4.253
0.4522,	1.337,	0.5222,	0.1,	-243.9,	4.62,	2.017
0.6733,	1.337,	0.5222,	0.1,	-243.7,	4.354,	2.156
0.8944,	1.337,	0.5222,	0.1,	-244.3,	4.855,	2.193
1.116,	1.337,	0.5222,	0.1,	-243.8,	4.347,	2.523
1.337,	1.337,	0.5222,	0.1,	-243.2,	3.889,	1.659
1.558,	1.337,	0.5222,	0.1,	-244.3,	4.951,	1.96
1.779,	1.337,	0.5222,	0.1,	-243.9,	4.621,	1.793
2.0,	1.337,	0.5222,	0.1,	-244.5,	5.053,	2.519
0.01,	1.558,	0.5222,	0.1,	-289.9,	3.069,	2.542
0.2311,	1.558,	0.5222,	0.1,	-248.3,	8.387,	4.685
0.4522,	1.558,	0.5222,	0.1,	-244.2,	4.822,	1.88
0.6733,	1.558,	0.5222,	0.1,	-243.7,	4.366,	1.748
0.8944,	1.558,	0.5222,	0.1,	-244.0,	4.624,	2.116
1.116,	1.558,	0.5222,	0.1,	-243.3,	4.132,	1.901
1.337,	1.558,	0.5222,	0.1,	-243.5,	4.145,	1.656
1.558,	1.558,	0.5222,	0.1,	-244.0,	4.548,	2.164
1.779,	1.558,	0.5222,	0.1,	-244.5,	4.978,	2.347
2.0,	1.558,	0.5222,	0.1,	-243.7,	4.395,	1.72
0.01,	1.779,	0.5222,	0.1,	-290.1,	2.985,	2.72
0.2311,	1.779,	0.5222,	0.1,	-248.9,	8.429,	5.572
0.4522,	1.779,	0.5222,	0.1,	-244.3,	4.927,	2.083
0.6733,	1.779,	0.5222,	0.1,	-243.5,	4.183,	2.002
0.8944,	1.779,	0.5222,	0.1,	-243.3,	4.012,	1.476
1.116,	1.779,	0.5222,	0.1,	-243.9,	4.593,	1.813
1.337,	1.779,	0.5222,	0.1,	-244.0,	4.743,	1.76
1.558,	1.779,	0.5222,	0.1,	-244.5,	5.1,	2.416
1.779,	1.779,	0.5222,	0.1,	-243.6,	4.393,	1.696
2.0,	1.779,	0.5222,	0.1,	-244.5,	5.096,	2.295
0.01,	2.0,	0.5222,	0.1,	-290.2,	3.238,	3.26
0.2311,	2.0,	0.5222,	0.1,	-248.6,	8.471,	4.446
0.4522,	2.0,	0.5222,	0.1,	-243.6,	4.356,	1.734
0.6733,	2.0,	0.5222,	0.1,	-244.1,	4.617,	2.333
